Name,Organization,Working group,Task force
Nicolas Alarcon,Sorbonne University,WG1,Negotiating openness of publication metadata
Miranda Bennett,California Digital Library,WG1,Negotiating openness of publication metadata (task force lead)
Sarah Bowman,Crossref,WG1,Supporting under-resourced publishers
Adam Buttrick,California Digital Library,WG1,Metadata framework (task force lead); Supporting under-resourced publishers
Francis P. Crawley,"Co-Chair & Coordinator, CoARA-ERIP",WG1,Negotiating openness of publication metadata
Maria Gould,DataCite / ROR,WG1,
Vincas Grigas,Vilnius University / The Association of Lithuanian Serials,WG1,Metadata framework; Supporting under-resourced publishers
Najko Jahn,Göttingen State and University Library,WG1,Negotiating openness of publication metadata
John Kunze,Drexel University / ARK Alliance,WG1,Supporting under-resourced publishers
Dominic Mitchell,DOAJ,WG1,Supporting under-resourced publishers (task force lead)
Leonidas Pispiringas,OpenAIRE,WG1,Negotiating openness of publication metadata
Toby Steiner,Thoth Open Metadata,WG1,Negotiating openness of publication metadata
Ludo Waltman,"CWTS, Leiden University",WG1,Negotiating openness of publication metadata (task force lead)
Kunhua Zhao,"National Science Library, Chinese Academy of Sciences",WG1,"Metadata framework,  Supporting under-resourced publishers"
