Name,Organization,Working group,Task force
Chiara Di Giambattista,OpenCitations,WG5,
Lea Maria Ferguson,Helmholtz Open Science Office,WG5,
Meredith P. Goins,World Data System,WG5,
Kathleen Gregory,"CWTS, Leiden University",WG5,
Vincas Grigas,Vilnius University / The Association of Lithuanian Serials,WG5,
Maxence Larrieu,Université Grenoble Alpes / TSOSI,WG5,
Lucy Ofiesh,Crossref,WG5,
Toby Steiner,Thoth Open Metadata,WG5,
Sofiia Zherebchuk,State Scientific and Technical Library of Ukraine (SSTL),WG5,
